;;;Europa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Àfrica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Amèrica ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Àsia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oceania;;;;;;;;;;;;;
Dte.;Barris;TOTAL ;Albània;Alemanya;Andorra;Armènia;Àustria;Belarús;Bèlgica;"Bòsnia i 
Hercegovina";Bulgària;Croàcia;Dinamarca;Eslovàquia;Eslovènia;Espanya;Estònia;Finlàndia;França;Geòrgia;Grècia;Hongria;Irlanda;Islàndia;Itàlia;Letònia;Liechtenstein;Lituània;Luxemburg;Macedònia;Malta;Moldàvia;Mònaco;Montenegro;Noruega;"Països
Baixos";Polònia;Portugal;"Regne
Unit";Romania;Rússia;Sèrbia;Suècia;Suïssa;Txèquia;Ucraïna;Xipre;"Altres països
o territoris de la
resta d'Europa";Algèria;Angola;Benín;"Burkina
Faso";Burundi;Camerun;Cap Verd;Congo;"Costa
d'Ivori";Djibouti;Egipte;Eritrea;Etiòpia;Gabon;Gàmbia;Ghana;Guinea;"Guinea
- Bissau";"Guinea
Equatorial";Kenya;Libèria;Líbia;Madagascar;Malawi;Mali;Marroc, el;Maurici;Mauritània;Moçambic;Namíbia;Níger;Nigèria;"República
 Centreafricana";"República 
Democràtica
del Congo";Ruanda;"São Tomé 
i Príncipe";Senegal;Seychelles;"Sierra
Leone";Somàlia;Sud-àfrica;Sudan, el;Swaziland;Tanzània;Togo;Tunísia;Txad;Uganda;Zàmbia;Zimbàbue;"Altres països
o territoris
d'Àfrica";Canadà;"Estats
Units, els";Mèxic;Bahames, les;Barbados;Costa Rica;Cuba;Dominica;El Salvador;Grenada;Guatemala;Haití;Hondures;Jamaica;Nicaragua;Panamà;"República 
Dominicana";"Trinidad i
Tobago";"Saint
Lucia";"Saint Kitts
i Nevis";Argentina;Bolívia;Brasil;Colòmbia;Xile;Equador;Guyana;Paraguai;Perú;Uruguai;Veneçuela;Afganistan;"Aràbia
Saudí";Azerbaidjan;Bahrain;Bangladesh;Cambodja;Corea;"Emirats Àrabs
 Units, els";Filipines;Iemen, el;Índia;Indonèsia;Iran;Iraq, l';Israel;Japó;Jordània;Kazakhstan;Kirguizstan;Kuwait;Lao;Líban;Malàisia;Maldives;Mongòlia;Myanmar;Nepal;Oman;Pakistan;Qatar;Singapur;Síria;Sri Lanka;Tadjikistan;Tailàndia;"Territoris
 Palestins";Turkmenistan;Turquia;Uzbekistan;Vietnam;Xina;"Altres països
o territoris
d'Àsia";Austràlia;"Nova
Zelanda";"Timor-
Leste";"Altres països
o territoris
d'Oceania";;;;;;;;;;
1;1. el Raval;47.129;15;356;6;46;37;14;83;5;82;9;42;8;7;24.284;9;49;668;57;65;34;53;6;1.475;15;0;17;4;2;2;5;0;0;29;137;117;177;443;298;183;24;173;56;16;106;1;1;185;3;0;4;0;12;1;3;2;0;27;1;0;0;19;14;29;3;6;1;0;10;0;0;7;1.319;0;4;1;1;2;39;0;0;0;0;46;0;0;1;8;2;0;3;0;17;0;0;0;0;0;32;178;176;0;0;16;69;1;21;0;11;0;102;1;13;11;214;0;0;0;245;314;211;235;158;259;1;100;129;36;150;38;0;7;0;2.591;0;34;0;3.976;0;1.015;10;14;8;15;39;5;13;0;3;0;17;1;0;0;0;133;0;4.965;0;4;194;0;0;6;1;1;43;3;0;292;7;20;3;0;2;;;;;;;;;;
1;2. el Barri Gòtic;15.614;13;289;2;10;38;9;71;0;29;4;39;8;8;8.909;3;27;528;15;40;23;66;10;999;10;0;15;0;1;1;4;0;0;21;124;78;112;309;117;99;17;161;41;14;66;10;0;55;1;0;0;0;5;0;0;3;0;12;0;0;0;5;10;8;2;5;1;0;0;0;0;1;285;0;21;0;0;0;11;0;0;0;0;31;0;0;1;4;0;0;1;0;2;0;1;0;1;1;26;165;122;0;0;9;37;0;7;0;6;0;71;0;6;6;40;0;0;0;157;69;131;156;119;44;0;27;64;18;78;1;2;11;0;35;0;20;0;215;0;149;1;5;4;29;38;1;14;1;1;0;4;0;0;1;0;11;0;660;0;1;14;1;0;2;0;0;34;3;1;151;7;28;4;0;0;;;;;;;;;;
1;3. la Barceloneta;15.021;4;195;0;7;17;5;35;1;63;11;33;13;8;10.261;2;25;241;7;18;31;30;2;844;12;0;18;0;3;2;5;0;1;24;78;85;86;196;78;114;15;102;24;25;88;0;0;61;0;1;0;0;0;0;0;0;0;5;0;1;0;3;1;3;0;0;0;0;2;0;0;0;315;0;0;0;0;0;8;0;0;0;0;18;1;0;0;4;0;0;0;0;3;0;0;0;0;0;20;92;77;0;0;5;47;0;16;0;2;0;14;0;1;2;20;0;0;0;90;79;176;99;62;61;0;25;52;28;80;0;1;3;0;26;0;4;0;13;0;66;0;4;0;8;7;5;2;0;0;0;4;2;0;0;0;17;0;436;0;2;8;0;0;4;0;0;26;4;2;66;3;22;3;0;0;;;;;;;;;;
1;4. Sant Pere, Santa Caterina i la Ribera;22.306;7;356;1;4;33;5;69;0;37;15;44;10;9;13.510;16;50;706;37;57;37;81;7;1.389;9;0;23;0;6;3;2;0;1;22;191;90;160;536;138;155;21;129;43;20;67;3;0;92;0;0;1;0;4;0;1;2;0;13;0;0;0;17;21;9;0;1;2;0;3;0;0;6;634;0;2;0;0;0;14;0;0;0;0;68;0;1;0;5;0;0;1;1;11;0;0;0;0;0;37;205;151;0;0;17;28;1;14;0;7;2;18;1;5;14;156;0;0;0;221;109;147;175;101;86;0;25;88;44;119;3;6;8;0;51;0;23;0;290;0;142;1;5;0;23;67;3;4;0;2;0;15;1;2;0;0;10;0;406;1;5;6;1;0;2;0;0;33;1;4;365;6;27;12;0;2;;;;;;;;;;
2;5. el Fort Pienc;31.653;6;194;2;10;26;15;39;2;33;1;17;8;2;25.378;0;12;497;12;20;23;28;2;863;21;0;7;0;0;0;6;0;5;12;76;63;116;191;127;128;10;50;20;11;72;3;0;25;2;0;0;0;3;0;0;0;0;7;0;0;1;7;7;11;0;2;1;1;1;0;0;5;162;0;5;4;1;2;11;0;0;0;0;30;0;0;0;1;0;0;0;1;4;0;0;0;0;0;20;81;131;0;0;7;55;0;17;0;5;8;74;1;11;9;69;0;0;0;171;125;168;158;84;121;0;29;157;37;173;1;0;9;0;23;0;8;0;23;0;55;2;14;5;16;21;7;12;1;2;0;5;3;0;0;0;25;0;95;0;1;1;0;0;1;0;0;27;0;4;1.155;16;5;2;0;1;;;;;;;;;;
2;6. la Sagrada Família;51.322;5;199;7;75;22;14;48;2;45;14;19;12;6;42.207;10;14;407;63;38;29;43;2;1.056;12;0;18;0;0;1;17;0;2;14;86;114;197;219;189;194;20;70;24;13;111;1;0;40;1;1;0;0;16;0;2;0;0;14;0;0;0;7;11;9;2;1;0;0;1;1;0;3;278;0;1;1;0;0;2;0;0;0;1;20;0;0;0;2;0;0;0;0;2;0;0;0;0;0;8;114;224;0;3;14;93;1;25;0;14;0;144;0;28;16;145;0;0;0;232;353;265;390;152;274;0;194;369;58;293;0;6;1;0;33;0;26;0;89;0;128;1;17;6;15;56;10;5;0;0;0;20;2;0;0;0;107;0;170;0;0;17;2;0;6;6;1;60;0;1;1.058;8;7;0;0;0;;;;;;;;;;
2;7. la Dreta de l'Eixample;43.644;4;470;15;16;41;15;103;3;43;10;29;16;7;35.003;6;12;960;26;53;30;90;7;1.319;10;0;23;6;0;2;2;1;4;26;176;89;181;427;108;196;15;107;57;16;75;6;0;42;1;1;0;0;7;0;2;1;0;26;0;0;0;3;2;0;1;4;2;0;0;0;0;2;104;0;0;0;0;0;7;0;0;0;0;10;0;0;0;7;0;1;0;0;8;0;0;1;2;0;52;276;224;0;0;8;56;0;20;1;17;1;73;0;16;9;55;0;0;0;197;138;242;256;110;88;0;69;162;35;182;3;11;4;0;27;0;42;1;49;0;50;4;19;2;36;89;5;17;0;2;0;29;3;0;3;0;21;0;62;1;2;13;0;0;15;2;0;52;0;1;695;16;28;14;0;0;;;;;;;;;;
2;8. l'Antiga Esquerra de l'Eixample;41.854;7;338;14;12;32;19;57;2;44;3;32;17;8;33.853;6;19;571;25;48;20;47;4;1.116;8;0;9;2;2;2;12;0;1;25;127;84;156;346;116;185;15;93;40;11;83;12;0;14;1;0;1;0;1;0;0;1;0;17;0;0;0;3;2;3;0;2;1;2;3;0;0;3;95;0;3;1;0;0;6;0;0;0;0;10;0;1;0;1;0;0;0;0;7;0;0;0;1;0;35;205;203;0;1;18;61;0;33;0;27;0;59;1;27;29;62;0;0;1;228;158;255;296;128;115;0;73;210;31;239;0;6;4;0;23;0;35;0;304;0;66;7;13;7;26;87;5;16;0;1;1;8;2;1;0;0;41;0;129;0;3;10;0;0;1;0;0;37;1;1;699;7;11;3;1;1;;;;;;;;;;
2;9. la Nova Esquerra de l'Eixample;57.648;14;241;17;41;32;23;60;2;36;13;25;11;4;48.139;5;18;496;51;45;34;41;2;1.130;9;0;17;2;1;2;29;0;2;9;88;73;178;220;228;188;17;47;21;17;105;2;0;24;2;0;1;0;7;0;3;1;0;15;0;1;0;3;6;5;1;1;2;0;5;1;0;0;225;1;2;3;0;0;11;2;0;2;0;13;0;2;0;0;0;0;1;0;2;0;2;0;0;0;21;156;220;1;0;29;103;0;28;0;21;1;126;0;27;29;112;0;0;0;267;247;386;375;154;224;0;119;393;50;276;0;7;4;0;55;1;54;0;319;0;101;4;18;1;16;101;13;18;0;0;0;29;3;0;0;0;4;0;198;0;9;24;0;0;5;0;0;27;0;5;1.170;8;9;1;0;0;;;;;;;;;;
