Dte,Barris,Total,MenysVintiQuatreAnys,VintiCincAVintiNouAnys,TrentaATrentaQuatreAnys,TrentaCincATrentaNouAnys,QuarantaAQuarantaQuatreAnys,QuarantaCincAQuarantaNouAnys,CinquantaACinquantaQuatreAnys,CincuantaCincACincuantaNouAnys,SeixantaASeixantaQuatreAnys,SeixantaCincASeixantaNouAnys,SetantaASetantaQuatreAnys,SetantaCincASetantaNouAnys,VuitantaAVuitantaQuatreAnys,VuitantaCincAVuitantaNouAnys,NourantaANourantaQuatreAnys,NourantaCincAnysIMes
BARCELONA,,203.997,3.183,11.486,17.774,18.322,14.598,12.870,11.900,12.180,13.666,15.490,13.634,17.320,19.441,14.565,6.082,1.486
1,"1. el Raval",6.054,148,457,663,653,525,478,391,335,344,388,314,458,375,354,144,27
1,"2. el Barri Gòtic",2.619,78,245,328,311,231,194,204,168,177,142,103,114,111,131,62,20
1,"3. la Barceloneta",2.777,77,211,310,313,210,172,163,177,139,164,139,198,230,178,83,13
1,"4. Sant Pere, Santa Caterina i la Ribera",4.016,88,275,555,534,386,300,225,226,230,206,183,205,270,217,82,34
2,"5. el Fort Pienc",4.107,77,255,419,363,275,247,231,261,302,283,273,331,379,246,127,38
2,"6. la Sagrada Família",7.464,102,449,690,593,489,488,451,429,499,543,468,601,733,602,258,69
2,"7. la Dreta de l'Eixample",6.574,129,408,608,597,487,419,391,440,485,508,397,479,506,421,217,82
2,"8. l'Antiga Esquerra de l'Eixample",6.567,106,467,664,560,454,400,414,407,467,453,395,450,568,458,226,78
2,"9. la Nova Esquerra de l'Eixample",8.127,155,497,708,656,528,474,486,515,575,641,558,631,730,614,287,72
2,"10. Sant Antoni",5.713,90,308,496,446,384,380,341,309,351,431,377,482,602,456,217,43
3,"11. el Poble Sec - AEI Parc Montjuïc",5.277,84,289,487,566,413,392,315,324,310,338,303,432,503,328,156,37
3,"12. la Marina del Prat Vermell - AEI Zona Franca",155,2,6,12,7,10,12,9,15,13,13,5,15,17,15,2,2
3,"13. la Marina de Port",3.137,50,140,234,249,232,195,200,191,213,253,218,309,355,220,65,13
3,"14. la Font de la Guatlla",1.422,30,114,124,121,104,86,86,90,87,122,102,109,122,76,39,10
3,"15. Hostafrancs",2.145,36,155,219,216,150,163,132,146,138,151,109,144,158,149,54,25
3,"16. la Bordeta",2.114,29,136,188,181,153,109,134,148,164,181,134,179,187,129,50,12
3,"17. Sants - Badal",3.028,51,183,275,289,214,199,178,196,205,209,199,233,289,213,77,18
3,"18. Sants",5.790,96,347,597,517,409,375,358,361,337,391,359,438,574,429,166,36
4,"19. les Corts",5.804,74,350,513,423,313,344,309,347,456,547,443,523,522,425,175,40
4,"20. la Maternitat i Sant Ramon",2.641,40,160,220,177,158,121,127,152,213,260,202,231,285,189,83,23
4,"21. Pedralbes",1.087,23,56,69,72,59,52,58,59,79,113,89,102,118,90,39,9
5,"22. Vallvidrera, el Tibidabo i les Planes",376,4,13,26,28,30,32,45,41,34,38,31,13,18,17,4,2
5,"23. Sarrià",2.490,47,120,189,185,183,168,163,169,164,183,194,186,233,176,107,23
5,"24. les Tres Torres",1.346,19,70,100,86,70,80,89,81,89,121,128,138,123,91,47,14
5,"25. Sant Gervasi - la Bonanova",2.675,53,138,191,225,189,145,155,165,175,241,185,215,232,217,110,39
5,"26. Sant Gervasi - Galvany",5.954,109,318,431,407,361,382,324,358,405,504,451,497,597,485,246,79
5,"27. el Putxet i el Farró",4.178,72,264,374,366,313,259,234,242,335,363,291,294,323,276,139,33
6,"28. Vallcarca i els Penitents",2.089,28,103,166,195,171,134,123,122,159,177,155,162,183,138,55,18
6,"29. el Coll",921,14,37,76,94,74,73,64,64,60,84,78,74,65,37,21,6
6,"30. la Salut",1.716,31,102,163,122,103,86,82,92,132,154,129,169,162,112,53,24
6,"31. la Vila de Gràcia",8.901,136,704,1.132,1.065,712,544,509,495,490,527,446,563,655,596,253,74
6,"32. el Camp d'en Grassot i Gràcia Nova",4.917,74,269,476,409,340,293,274,320,326,390,363,394,436,345,173,35
7,"33. el Baix Guinardó",3.443,43,215,287,311,196,215,191,208,234,263,211,336,340,271,106,16
7,"34. Can Baró",1.151,20,59,87,109,71,82,69,65,58,87,82,117,120,88,32,5
7,"35. el Guinardó",4.755,59,236,355,403,344,298,305,293,334,351,324,406,472,383,152,40
7,"36. la Font d'en Fargues",919,9,40,64,80,75,60,50,61,80,95,71,76,79,61,16,2
7,"37. el Carmel",3.464,56,187,223,343,281,222,181,187,231,267,268,375,335,219,77,12
7,"38. la Teixonera",1.324,18,64,98,134,108,97,71,73,80,113,102,129,108,93,33,3
7,"39. Sant Genís dels Agudells",830,8,34,43,63,51,61,45,39,50,72,70,99,114,60,15,6
7,"40. Montbau",689,7,23,30,31,53,36,35,29,22,40,49,112,115,71,30,6
7,"41. la Vall d'Hebron",581,9,9,22,30,38,33,32,38,37,60,65,87,72,39,8,2
7,"42. la Clota",59,3,1,8,7,4,4,3,3,3,2,3,8,5,5,0,0
7,"43. Horta",3.067,44,133,181,215,241,186,185,163,206,262,243,323,346,231,90,18
8,"44. Vilapicina i la Torre Llobeta",2.988,25,117,178,214,194,183,158,182,186,250,263,318,348,245,102,25
8,"45. Porta",3.032,24,109,222,268,227,165,154,154,197,227,243,356,348,230,92,16
8,"46. el Turó de la Peira",1.920,20,63,78,112,106,96,123,100,99,83,101,238,379,243,71,8
8,"47. Can Peguera",298,6,11,19,31,23,12,19,18,18,21,26,33,35,26,0,0
8,"48. la Guineueta",1.623,12,42,81,99,85,78,81,89,118,153,131,203,234,153,59,5
8,"49. Canyelles",632,5,19,31,28,28,18,30,57,54,84,75,74,77,38,14,0
8,"50. les Roquetes",1.486,25,75,103,145,119,82,86,85,92,121,101,137,171,93,46,5
8,"51. Verdun",1.552,19,69,118,135,99,115,73,91,112,113,134,140,161,107,58,8
8,"52. la Prosperitat",2.991,32,112,189,235,189,162,140,148,166,254,292,403,366,210,82,11
8,"53. la Trinitat Nova",906,11,26,52,64,52,53,63,51,59,69,51,66,150,100,34,5
8,"54. Torre Baró",159,3,3,12,12,16,13,10,10,15,12,9,13,15,14,0,2
8,"55. Ciutat Meridiana",791,17,26,40,59,61,52,48,41,49,79,85,95,73,42,22,2
8,"56. Vallbona",143,2,7,24,33,16,12,7,11,4,8,5,7,4,3,0,0
9,"57. la Trinitat Vella",833,28,44,75,93,65,61,51,49,59,49,50,68,71,47,19,4
9,"58. Baró de Viver",298,2,7,30,34,35,19,11,21,21,16,13,24,31,26,7,1
9,"59. el Bon Pastor",1.097,15,40,83,118,88,71,61,65,68,88,78,121,115,65,21,0
9,"60. Sant Andreu",6.443,80,330,574,611,522,401,368,392,478,502,413,553,602,414,168,35
9,"61. la Sagrera",3.114,39,155,234,271,197,176,162,227,254,265,200,324,282,222,84,22
9,"62. el Congrés i els Indians",1.950,15,74,130,130,112,103,118,115,101,137,111,160,307,248,67,22
9,"63. Navas",2.564,41,106,154,183,150,138,115,147,201,267,206,267,297,200,83,9
10,"64. el Camp de l'Arpa del Clot",5.220,78,320,438,481,305,326,317,311,394,414,352,390,497,399,167,31
10,"65. el Clot",2.896,41,181,236,254,222,189,193,185,207,235,192,226,252,209,59,15
10,"66. el Parc i la Llacuna del Poblenou",1.881,29,119,207,245,135,129,101,114,158,122,102,134,145,99,30,12
10,"67. la Vila Olímpica del Poblenou",872,14,39,76,95,90,100,84,80,82,60,45,41,32,24,7,3
10,"68. el Poblenou",4.036,33,220,384,521,397,313,254,201,212,229,198,327,345,267,116,19
10,"69. Diagonal Mar i el Front Marítim del Poblenou",1.631,20,85,260,294,206,133,108,88,88,71,80,67,67,44,16,4
10,"70. el Besòs i el Maresme",2.264,41,89,120,142,145,127,146,128,149,158,146,279,321,199,63,11
10,"71. Provençals del Poblenou",2.150,31,136,216,249,177,147,123,133,135,129,115,191,177,140,39,12
10,"72. Sant Martí de Provençals",2.977,30,121,172,224,175,153,140,160,206,255,251,313,398,268,90,21
10,"73. la Verneda i la Pau",2.787,17,94,137,190,170,153,124,123,196,288,257,315,374,239,90,20
