Dte,Barris,Total,MenysVintiQuatreAnys,VintiCincAVintiNouAnys,TrentaATrentaQuatreAnys,TrentaCincATrentaNouAnys,QuarantaAQuarantaQuatreAnys,QuarantaCincAQuarantaNouAnys,CinquantaACinquantaQuatreAnys,CincuantaCincACincuantaNouAnys,SeixantaASeixantaQuatreAnys,SeixantaCincASeixantaNouAnys,SetantaASetantaQuatreAnys,SetantaCincASetantaNouAnys,VuitantaAVuitantaQuatreAnys,VuitantaCincAVuitantaNouAnys,NourantaANourantaQuatreAnys,NourantaCincAnysIMes,,
1,"1. el Raval",5.898,137,463,659,640,529,455,396,340,331,373,304,417,352,323,155,24,,
1,"2. el Barri Gòtic",2.567,83,232,316,318,227,189,196,172,158,143,98,119,115,118,56,27,,
1,"3. la Barceloneta",2.721,92,195,303,300,235,174,145,168,148,156,145,172,237,164,74,13,,
1,"4. Sant Pere, Santa Caterina i la Ribera",4.016,93,300,529,507,406,301,253,229,215,219,190,194,251,204,90,35,,
2,"5. el Fort Pienc",4.020,70,221,396,354,295,238,214,276,280,296,284,314,360,252,130,40,,
2,"6. la Sagrada Família",7.289,100,388,632,596,484,470,453,441,502,546,507,546,701,592,266,65,,
2,"7. la Dreta de l'Eixample",6.554,100,407,637,643,462,420,385,426,480,513,453,413,495,416,230,74,,
2,"8. l'Antiga Esquerra de l'Eixample",6.601,111,447,672,524,440,400,431,458,461,491,435,416,541,472,215,87,,
2,"9. la Nova Esquerra de l'Eixample",8.048,137,486,673,619,528,471,472,508,583,662,636,575,697,619,303,79,,
2,"10. Sant Antoni",5.612,81,262,476,486,362,368,347,328,353,403,406,453,541,461,235,50,,
3,"11. el Poble Sec - AEI Parc Montjuïc",5.233,69,255,493,516,438,406,334,332,302,362,320,385,478,337,167,39,,
3,"12. la Marina del Prat Vermell - AEI Zona Franca",165,3,7,14,12,9,14,7,13,16,18,4,12,13,17,4,2,,
3,"13. la Marina de Port",3.145,40,132,225,230,230,211,211,206,213,258,227,281,366,221,83,11,,
3,"14. la Font de la Guatlla",1.397,23,87,118,110,109,100,85,83,106,109,113,105,123,79,37,10,,
3,"15. Hostafrancs",2.097,35,126,213,208,156,153,144,140,135,153,118,127,171,136,60,22,,
3,"16. la Bordeta",2.105,29,116,175,171,161,102,133,156,159,184,150,180,174,141,64,10,,
3,"17. Sants - Badal",3.024,67,161,247,286,210,196,178,195,227,202,230,199,298,221,85,22,,
3,"18. Sants",5.720,82,318,556,542,438,364,359,342,344,395,362,397,572,436,172,41,,
4,"19. les Corts",5.832,77,310,475,417,344,324,328,354,474,533,489,500,539,430,196,42,,
4,"20. la Maternitat i Sant Ramon",2.673,42,148,191,177,173,128,128,163,202,264,229,211,290,212,88,27,,
4,"21. Pedralbes",1.065,25,46,53,76,61,53,56,55,73,119,92,92,116,93,49,6,,
5,"22. Vallvidrera, el Tibidabo i les Planes",374,2,15,25,29,33,29,43,44,35,33,38,14,13,13,7,1,,
5,"23. Sarrià",2.490,52,108,206,182,173,167,151,163,180,172,221,173,228,184,103,27,,
5,"24. les Tres Torres",1.359,18,67,90,90,79,76,90,93,100,111,135,129,113,108,43,17,,
5,"25. Sant Gervasi - la Bonanova",2.709,56,121,208,214,186,146,156,181,180,252,213,200,220,226,115,35,,
5,"26. Sant Gervasi - Galvany",5.920,89,301,428,400,352,370,342,344,410,480,511,473,572,496,270,82,,
5,"27. el Putxet i el Farró",4.179,76,255,386,350,311,237,247,254,320,371,333,269,321,272,143,34,,
6,"28. Vallcarca i els Penitents",2.046,27,81,147,179,175,135,117,142,140,171,187,144,194,132,57,18,,
6,"29. el Coll",906,17,36,80,85,77,71,63,57,58,80,81,67,64,44,20,6,,
6,"30. la Salut",1.701,28,92,159,124,112,82,79,87,129,156,142,145,163,122,58,23,,
6,"31. la Vila de Gràcia",8.811,154,653,1.132,1.016,734,539,534,462,515,532,470,503,646,579,266,76,,
6,"32. el Camp d'en Grassot i Gràcia Nova",4.852,62,240,439,433,312,296,293,296,346,375,376,394,424,349,173,44,,
7,"33. el Baix Guinardó",3.466,38,172,291,313,236,200,200,212,233,263,251,295,368,259,116,19,,
7,"34. Can Baró",1.157,19,49,80,103,90,78,72,69,53,100,85,104,115,91,38,11,,
7,"35. el Guinardó",4.738,58,214,324,364,344,331,327,277,333,353,356,382,490,379,164,42,,
7,"36. la Font d'en Fargues",902,10,35,54,76,71,56,54,57,76,90,89,72,83,50,25,4,,
7,"37. el Carmel",3.445,46,168,226,319,281,226,196,178,242,250,284,341,349,235,90,14,,
7,"38. la Teixonera",1.326,16,60,97,120,117,97,73,81,76,110,110,123,121,78,46,1,,
7,"39. Sant Genís dels Agudells",835,6,31,40,55,46,63,53,34,47,72,84,102,111,72,13,6,,
7,"40. Montbau",682,6,27,24,28,46,44,41,30,29,36,47,106,109,71,33,5,,
7,"41. la Vall d'Hebron",584,8,10,15,34,33,29,32,41,37,64,73,79,71,41,15,2,,
7,"42. la Clota",70,3,3,8,12,5,5,4,6,3,2,3,5,4,7,0,0,,
7,"43. Horta",3.082,36,104,172,208,237,209,184,186,208,263,253,308,361,226,104,23,,
8,"44. Vilapicina i la Torre Llobeta",2.991,26,91,160,214,201,200,158,186,179,258,255,304,361,250,127,21,,
8,"45. Porta",3.068,25,96,217,278,229,166,166,173,179,241,247,315,373,248,101,14,,
8,"46. el Turó de la Peira",1.944,24,53,89,105,102,91,130,110,99,93,107,208,357,277,88,11,,
8,"47. Can Peguera",306,4,12,17,33,22,15,19,25,20,15,25,39,33,26,1,0,,
8,"48. la Guineueta",1.629,10,35,77,77,107,77,75,91,114,166,147,197,225,163,60,8,,
8,"49. Canyelles",668,4,18,29,36,30,29,24,55,61,81,81,75,86,42,15,2,,
8,"50. les Roquetes",1.489,20,78,101,128,128,89,87,91,84,118,116,127,176,89,49,8,,
8,"51. Verdun",1.563,18,54,106,140,115,103,88,93,95,117,136,155,160,109,65,9,,
8,"52. la Prosperitat",2.990,24,102,163,229,202,157,149,165,152,244,316,383,379,218,99,8,,
8,"53. la Trinitat Nova",909,7,25,41,64,63,56,64,61,58,74,56,54,140,103,39,4,,
8,"54. Torre Baró",198,6,7,18,20,18,16,13,16,19,15,11,7,12,16,3,1,,
8,"55. Ciutat Meridiana",800,11,26,36,50,66,61,56,45,45,74,89,90,82,47,18,4,,
8,"56. Vallbona",133,1,1,19,25,18,14,9,10,7,10,4,8,6,1,0,0,,
9,"57. la Trinitat Vella",862,25,44,63,104,78,66,53,47,56,57,57,62,78,45,19,8,,
9,"58. Baró de Viver",295,1,7,23,35,34,21,16,19,22,17,14,24,26,27,7,2,,
9,"59. el Bon Pastor",1.106,19,43,71,104,92,80,71,69,74,82,88,117,109,65,20,2,,
9,"60. Sant Andreu",6.484,79,267,532,586,539,428,375,415,467,522,467,520,631,436,180,40,,
9,"61. la Sagrera",3.130,21,116,248,249,207,193,165,232,271,282,221,298,281,248,84,14,,
9,"62. el Congrés i els Indians",1.958,11,65,126,126,118,119,105,137,98,137,119,138,294,260,87,18,,
9,"63. Navas",2.530,31,91,144,168,148,132,142,145,183,255,244,238,288,212,96,13,,
10,"64. el Camp de l'Arpa del Clot",5.144,61,264,426,463,355,294,323,312,380,440,372,342,495,410,177,30,,
10,"65. el Clot",2.879,42,135,241,250,210,199,187,209,193,238,219,215,239,209,80,13,,
10,"66. el Parc i la Llacuna del Poblenou",1.923,32,102,186,256,149,137,111,107,153,143,124,109,162,106,33,13,,
10,"67. la Vila Olímpica del Poblenou",883,16,33,64,101,78,93,94,86,83,73,49,41,43,22,7,0,,
10,"68. el Poblenou",4.085,39,182,382,510,447,309,268,224,209,240,211,288,348,285,122,21,,
10,"69. Diagonal Mar i el Front Marítim del Poblenou",1.596,17,71,239,293,208,137,115,87,81,80,73,67,59,47,16,6,,
10,"70. el Besòs i el Maresme",2.235,37,76,125,146,130,136,147,154,141,159,150,250,304,204,66,10,,
10,"71. Provençals del Poblenou",2.135,26,116,189,248,179,149,139,136,138,127,127,185,181,131,57,7,,
10,"72. Sant Martí de Provençals",2.954,16,106,169,213,175,165,152,170,191,236,261,301,406,269,103,21,,
10,"73. la Verneda i la Pau",2.867,19,75,149,184,164,161,144,144,211,249,315,302,370,253,104,23,,
