"Dte.","Barris","TOTAL ","Sense 
estudis","Estudis primaris / 
certificat d'escolaritat / 
EGB","Batxillerat elemental / 
graduat escolar / 
ESO / FPI","Batxillerat superior / 
BUP / COU / FPII / 
CFGM grau mitjà","Estudis universitaris / 
CFGS grau superior","No consta"
,,,,,,,,
"BARCELONA",,1.394.404,43.493,264.901,294.229,352.987,418.050,20.744
,,,,,,,,
1,"1. el Raval",40.965,1.022,13.779,8.795,7.360,9.315,694
1,"2. el Barri Gòtic",14.327,326,2.607,2.397,3.428,5.462,107
1,"3. la Barceloneta",13.680,648,3.326,3.260,2.801,3.502,143
1,"4. Sant Pere, Santa Caterina i la Ribera",20.084,496,3.894,3.323,4.542,7.573,256
2,"5. el Fort Pienc",27.789,539,3.914,5.124,7.566,10.290,356
2,"6. la Sagrada Família",45.628,1.135,7.071,8.858,12.058,15.957,549
2,"7. la Dreta de l'Eixample",38.097,486,3.356,4.889,9.988,18.849,529
2,"8. l'Antiga Esquerra de l'Eixample",36.986,581,3.735,5.326,10.097,16.788,459
2,"9. la Nova Esquerra de l'Eixample",51.144,876,6.556,8.643,13.965,20.490,614
2,"10. Sant Antoni",33.926,865,5.715,6.552,8.837,11.539,418
3,"11. el Poble Sec - AEI Parc Montjuïc",35.180,1.130,9.223,8.124,7.738,8.447,518
3,"12. la Marina del Prat Vermell - AEI Zona Franca",988,64,427,318,111,51,17
3,"13. la Marina de Port",25.856,1.066,7.656,7.058,5.974,3.610,492
3,"14. la Font de la Guatlla",9.149,308,1.788,2.001,2.313,2.600,139
3,"15. Hostafrancs",14.063,407,3.056,3.062,3.377,3.986,175
3,"16. la Bordeta",16.205,578,3.615,4.001,4.197,3.598,216
3,"17. Sants - Badal",21.184,812,4.970,4.908,5.180,5.016,298
3,"18. Sants",35.937,1.097,6.863,7.474,9.065,10.962,476
4,"19. les Corts",40.143,758,4.774,6.525,11.138,16.461,487
4,"20. la Maternitat i Sant Ramon",20.844,545,3.029,3.672,5.624,7.706,268
4,"21. Pedralbes",9.861,53,612,1.134,2.812,5.016,234
5,"22. Vallvidrera, el Tibidabo i les Planes",3.701,72,370,571,1.066,1.524,98
5,"23. Sarrià",20.041,230,1.514,2.398,5.561,9.891,447
5,"24. les Tres Torres",13.348,65,688,1.302,4.087,6.895,311
5,"25. Sant Gervasi - la Bonanova",21.409,174,1.458,2.540,6.523,10.329,385
5,"26. Sant Gervasi - Galvany",39.678,253,2.427,4.449,11.861,19.924,764
5,"27. el Putxet i el Farró",24.910,243,1.659,3.281,7.333,11.966,428
6,"28. Vallcarca i els Penitents",13.222,310,1.591,2.386,3.645,5.099,191
6,"29. el Coll",6.360,198,1.102,1.402,1.730,1.840,88
6,"30. la Salut",11.431,216,1.418,1.977,3.175,4.481,164
6,"31. la Vila de Gràcia",44.436,985,5.916,6.975,11.189,18.902,469
6,"32. el Camp d'en Grassot i Gràcia Nova",30.129,619,3.863,5.296,8.328,11.662,361
7,"33. el Baix Guinardó",22.578,762,3.669,4.786,6.264,6.800,297
