DTE,BARRIS,GENER,FEBRER,MARÇ,ABRIL,MAIG,JUNY,JULIOL,AGOST,SETEMBRE,OCTUBRE,NOVEMBRE,DESEMBRE
1,"1. el Raval",4588,4539,4572,4510,4379,4318,4279,4169,4131,4237,4273,4218
1,"2. el Barri Gòtic",1222,1223,1233,1188,1141,1095,1130,1135,1147,1152,1170,1157
1,"3. la Barceloneta",1409,1393,1387,1354,1262,1250,1280,1284,1246,1266,1275,1252
1,"4. Sant Pere, Santa Caterina i la Ribera",1956,1933,1921,1876,1756,1737,1780,1782,1730,1756,1768,1734
2,"5. el Fort Pienc",1879,1847,1850,1843,1778,1755,1786,1795,1752,1756,1734,1691
2,"6. la Sagrada Família",3042,2995,2986,2953,2860,2818,2867,2895,2838,2834,2804,2759
2,"7. la Dreta de l Eixample",2015,2036,2002,1960,1869,1878,1928,1916,1862,1850,1832,1796
2,"8. l Antiga Esquerra de l Eixample",2387,2329,2295,2267,2163,2088,2143,2145,2118,2078,2071,2017
2,"9. la Nova Esquerra de l Eixample",3342,3295,3242,3215,3104,3028,3114,3084,3051,3028,3014,2970
2,"10. Sant Antoni",2451,2407,2366,2346,2249,2199,2259,2251,2196,2176,2169,2119
3,"11. el Poble Sec - AEI Parc Montjuïc",3509,3399,3381,3340,3206,3129,3192,3160,3106,3152,3157,3139
3,"12. la Marina del Prat Vermell - AEI Zona Franca",149,151,155,159,157,158,148,145,139,151,142,136
3,"13. la Marina de Port",2396,2382,2416,2424,2352,2339,2338,2327,2283,2348,2306,2292
3,"14. la Font de la Guatlla",878,852,849,839,806,789,803,795,782,794,794,788
3,"15. Hostafrancs",1047,1046,1033,1037,1007,999,994,1011,999,1006,990,976
3,"16. la Bordeta",1228,1227,1212,1217,1181,1171,1166,1186,1171,1181,1161,1145
3,"17. Sants - Badal",1384,1381,1380,1377,1322,1310,1317,1331,1318,1324,1315,1282
3,"18. Sants",2564,2558,2540,2540,2454,2430,2433,2463,2439,2455,2425,2380
4,"19. les Corts",2627,2613,2595,2580,2494,2445,2479,2486,2480,2491,2461,2422
4,"20. la Maternitat i Sant Ramon",1368,1365,1365,1362,1307,1295,1302,1316,1303,1309,1300,1267
4,"21. Pedralbes",313,305,306,302,297,294,297,301,284,281,287,270
5,"22. Vallvidrera, el Tibidabo i les Planes",128,127,124,121,115,113,117,118,118,117,118,116
5,"23. Sarrià",674,658,655,645,627,617,632,637,614,610,618,591
5,"24. les Tres Torres",498,493,481,472,448,437,458,459,460,458,458,451
5,"25. Sant Gervasi - la Bonanova",847,833,814,822,801,774,819,823,779,798,784,787
5,"26. Sant Gervasi - Galvany",1651,1622,1604,1587,1522,1516,1543,1534,1489,1503,1468,1437
5,"27. el Putxet i el Farró",1476,1454,1441,1420,1358,1344,1380,1390,1361,1356,1336,1312
6,"28. Vallcarca i els Penitents",945,926,918,901,855,847,866,875,872,862,856,837
6,"29. el Coll",399,389,386,379,357,354,365,368,367,363,359,351
6,"30. la Salut",793,781,767,755,723,717,736,744,730,724,720,708
6,"31. la Vila de Gràcia",3156,3082,3061,2991,2853,2812,2911,2941,2841,2804,2808,2769
6,"32. el Camp d en Grassot i Gràcia Nova",1973,1954,1925,1894,1830,1810,1855,1875,1840,1823,1807,1783
7,"33. el Baix Guinardó",1523,1503,1484,1459,1412,1394,1423,1440,1414,1406,1396,1378
7,"34. Can Baró",567,559,549,539,518,514,528,533,522,517,515,507
