"Dte.","Barris","Gener","Febrer","Març","Abril","Maig","Juny","Juliol","Agost","Setembre","Octubre","Novembre","Desembre"
1,"1. el Raval",3.977,3.928,3.928,3.857,3.630,3.553,3.473,3.401,3.466,3.482,3.593,3.565
1,"2. el Barri Gòtic",1.051,1.027,1.006,962,919,877,869,860,875,876,905,912
1,"3. la Barceloneta",1.223,1.177,1.166,1.139,1.092,1.049,1.039,1.060,1.062,1.069,1.084,1.072
1,"4. Sant Pere, Santa Caterina i la Ribera",1.691,1.626,1.612,1.577,1.514,1.455,1.441,1.468,1.469,1.475,1.496,1.480
2,"5. el Fort Pienc",1.479,1.442,1.422,1.379,1.334,1.294,1.280,1.326,1.326,1.340,1.350,1.347
2,"6. la Sagrada Família",2.479,2.409,2.378,2.340,2.262,2.179,2.171,2.244,2.227,2.213,2.220,2.216
2,"7. la Dreta de l'Eixample",1.669,1.642,1.621,1.566,1.498,1.475,1.456,1.489,1.463,1.438,1.476,1.447
2,"8. l'Antiga Esquerra de l'Eixample",1.804,1.761,1.758,1.666,1.597,1.559,1.541,1.585,1.601,1.601,1.618,1.573
2,"9. la Nova Esquerra de l'Eixample",2.684,2.597,2.600,2.501,2.456,2.368,2.393,2.435,2.393,2.381,2.403,2.357
2,"10. Sant Antoni",1.927,1.871,1.875,1.784,1.750,1.691,1.712,1.746,1.735,1.731,1.760,1.719
3,"11. el Poble Sec - AEI Parc Montjuïc",2.802,2.756,2.782,2.693,2.592,2.508,2.500,2.511,2.480,2.476,2.509,2.486
3,"12. la Marina del Prat Vermell - AEI Zona Franca",151,147,138,141,139,131,124,121,117,121,123,125
3,"13. la Marina de Port",2.097,2.062,2.097,2.025,1.973,1.917,1.891,1.876,1.866,1.882,1.886,1.816
3,"14. la Font de la Guatlla",706,694,701,679,654,632,630,633,625,625,632,625
3,"15. Hostafrancs",857,849,850,840,797,778,769,793,772,776,786,777
3,"16. la Bordeta",1.005,996,997,985,935,913,902,930,905,911,923,912
3,"17. Sants - Badal",1.127,1.115,1.099,1.072,1.031,1.003,996,1.019,986,982,981,977
3,"18. Sants",2.093,2.070,2.060,2.024,1.934,1.884,1.868,1.918,1.863,1.865,1.878,1.861
4,"19. les Corts",2.147,2.106,2.100,2.055,1.984,1.920,1.920,1.960,1.905,1.903,1.906,1.888
4,"20. la Maternitat i Sant Ramon",1.114,1.102,1.086,1.060,1.019,992,984,1.008,975,971,970,966
4,"21. Pedralbes",259,257,246,230,226,226,229,238,225,223,224,222
